Task,RM_Analytic,RM_Observed,RM_Gap,RM_Missed,DM_Analytic,DM_Observed,DM_Gap,DM_Missed,EDF_Analytic,EDF_Observed,EDF_Gap,EDF_Missed
T0,47,12,35,0,47,12,35,0,47,12,35,0
T1,89,20,69,0,96,22,74,0,107,22,85,0
T2,6,2,4,0,5,1,4,0,5,1,4,0
T3,12,4,8,0,23,5,18,0,23,5,18,0
T4,1,1,0,0,6,2,4,0,6,2,4,0
T5,15,5,10,0,26,6,20,0,26,6,20,0
T6,105,32,73,0,107,33,74,0,117,33,84,0
T7,106,33,73,0,55,15,40,0,55,15,40,0
T8,53,14,39,0,53,14,39,0,53,14,39,0
T9,175,38,137,0,175,38,137,0,175,38,137,0
T10,237,48,189,0,237,48,189,0,237,48,189,0
T11,26,6,20,0,16,3,13,0,16,3,13,0
