Task,RM_Analytic,RM_Observed,RM_Gap,RM_Missed,DM_Analytic,DM_Observed,DM_Gap,DM_Missed,EDF_Analytic,EDF_Observed,EDF_Gap,EDF_Missed
T0,47,26,21,0,47,26,21,0,47,23,24,0
T1,89,36,53,0,96,39,57,0,107,36,71,0
T2,6,4,2,0,5,4,1,0,5,4,1,0
T3,12,8,4,0,23,13,10,0,23,13,10,0
T4,1,1,0,0,6,4,2,0,6,5,1,0
T5,15,9,6,0,26,14,12,0,26,14,12,0
T6,105,48,57,0,107,52,55,0,117,48,69,0
T7,106,49,57,0,55,30,25,0,55,27,28,0
T8,53,29,24,0,53,29,24,0,53,27,26,0
T9,175,55,120,0,175,56,119,0,175,57,118,0
T10,237,82,155,0,237,80,157,0,237,80,157,0
T11,26,16,10,0,16,9,7,0,16,10,6,0
