Task,RM_Analytic,RM_Observed,RM_Gap,RM_Missed,DM_Analytic,DM_Observed,DM_Gap,DM_Missed,EDF_Analytic,EDF_Observed,EDF_Gap,EDF_Missed
T0,47,43,4,0,47,43,4,0,47,43,4,0
T1,89,56,33,0,96,58,38,0,107,58,49,0
T2,6,6,0,0,5,5,0,0,5,5,0,0
T3,12,12,0,0,23,22,1,0,23,23,0,0
T4,1,1,0,0,6,6,0,0,6,6,0,0
T5,15,15,0,0,26,25,1,0,26,26,0,0
T6,105,90,15,0,107,90,17,0,117,88,29,0
T7,106,96,10,0,55,50,5,0,55,50,5,0
T8,53,48,5,0,53,49,4,0,53,49,4,0
T9,175,106,69,0,175,99,76,0,175,100,75,0
T10,237,166,71,0,237,172,65,0,237,162,75,0
T11,26,25,1,0,16,16,0,0,16,16,0,0
