Task,RM_Analytic,RM_Observed,RM_Gap,RM_Missed,DM_Analytic,DM_Observed,DM_Gap,DM_Missed,EDF_Analytic,EDF_Observed,EDF_Gap,EDF_Missed
T0,47,45,2,0,47,46,1,0,47,45,2,0
T1,89,60,29,0,96,85,11,0,107,85,22,0
T2,6,6,0,0,5,5,0,0,5,5,0,0
T3,12,12,0,0,23,23,0,0,23,23,0,0
T4,1,1,0,0,6,6,0,0,6,6,0,0
T5,15,15,0,0,26,26,0,0,26,26,0,0
T6,105,104,1,0,107,103,4,0,117,104,13,0
T7,106,106,0,1,55,53,2,0,55,52,3,0
T8,53,51,2,0,53,51,2,0,53,51,2,0
T9,175,116,59,0,175,116,59,0,175,116,59,0
T10,237,217,20,0,237,216,21,0,237,216,21,0
T11,26,26,0,0,16,16,0,0,16,16,0,0
