Task,RM_Analytic,RM_Observed,RM_Gap,RM_Missed,DM_Analytic,DM_Observed,DM_Gap,DM_Missed,EDF_Analytic,EDF_Observed,EDF_Gap,EDF_Missed
T0,47,47,0,0,47,47,0,0,47,48,-1,0
T1,89,89,0,0,96,96,0,0,107,107,0,0
T2,6,6,0,0,5,5,0,0,5,5,0,0
T3,12,12,0,0,23,23,0,0,23,23,0,0
T4,1,1,0,0,6,6,0,0,6,6,0,0
T5,15,15,0,0,26,26,0,0,26,27,-1,0
T6,105,109,-4,0,107,111,-4,0,117,174,-57,0
T7,106,111,-5,135,55,55,0,0,55,56,-1,0
T8,53,53,0,0,53,53,0,0,53,54,-1,0
T9,175,179,-4,0,175,179,-4,0,175,179,-4,0
T10,237,352,-115,45,237,352,-115,45,237,264,-27,0
T11,26,26,0,0,16,16,0,0,16,16,0,0
