Task,RM_Analytic,RM_Observed,RM_Gap,RM_Missed,DM_Analytic,DM_Observed,DM_Gap,DM_Missed,EDF_Analytic,EDF_Observed,EDF_Gap,EDF_Missed
T0,20,7,13,0,20,7,13,0,20,7,13,0
T1,33,12,21,0,35,13,22,0,35,13,22,0
T2,5,2,3,0,4,1,3,0,4,1,3,0
T3,11,4,7,0,14,5,9,0,14,5,9,0
T4,1,1,0,0,5,2,3,0,5,2,3,0
T5,14,5,9,0,17,6,11,0,17,6,11,0
T6,35,13,22,0,42,14,28,0,42,14,28,0
T7,42,14,28,0,29,10,19,0,29,10,19,0
T8,27,9,18,0,27,9,18,0,27,9,18,0
T9,48,19,29,0,48,19,29,0,48,19,29,0
T10,54,25,29,0,54,25,29,0,54,25,29,0
T11,17,6,11,0,8,3,5,0,8,3,5,0
