Task,RM_Analytic,RM_Observed,RM_Gap,RM_Missed,DM_Analytic,DM_Observed,DM_Gap,DM_Missed,EDF_Analytic,EDF_Observed,EDF_Gap,EDF_Missed
T0,20,13,7,0,20,13,7,0,20,13,7,0
T1,33,20,13,0,35,20,15,0,35,22,13,0
T2,5,4,1,0,4,3,1,0,4,3,1,0
T3,11,8,3,0,14,10,4,0,14,10,4,0
T4,1,1,0,0,5,4,1,0,5,4,1,0
T5,14,10,4,0,17,12,5,0,17,11,6,0
T6,35,22,13,0,42,22,20,0,42,23,19,0
T7,42,23,19,0,29,17,12,0,29,18,11,0
T8,27,16,11,0,27,16,11,0,27,17,10,0
T9,48,27,21,0,48,28,20,0,48,28,20,0
T10,54,32,22,0,54,33,21,0,54,33,21,0
T11,17,11,6,0,8,6,2,0,8,6,2,0
