Task,RM_Analytic,RM_Observed,RM_Gap,RM_Missed,DM_Analytic,DM_Observed,DM_Gap,DM_Missed,EDF_Analytic,EDF_Observed,EDF_Gap,EDF_Missed
T0,20,20,0,0,20,20,0,0,20,20,0,0
T1,33,33,0,0,35,35,0,0,35,35,0,0
T2,5,5,0,0,4,4,0,0,4,4,0,0
T3,11,11,0,0,14,14,0,0,14,14,0,0
T4,1,1,0,0,5,5,0,0,5,5,0,0
T5,14,14,0,0,17,17,0,0,17,17,0,0
T6,35,35,0,0,42,42,0,0,42,42,0,0
T7,42,42,0,0,29,29,0,0,29,29,0,0
T8,27,27,0,0,27,27,0,0,27,27,0,0
T9,48,48,0,0,48,48,0,0,48,48,0,0
T10,54,54,0,0,54,54,0,0,54,54,0,0
T11,17,17,0,0,8,8,0,0,8,8,0,0
