Task,RM_Analytic,RM_Observed,RM_Gap,RM_Missed,DM_Analytic,DM_Observed,DM_Gap,DM_Missed,EDF_Analytic,EDF_Observed,EDF_Gap,EDF_Missed
T0,1,1,0,0,1,1,0,0,45,32,13,62
T1,104,69,35,0,104,69,35,0,129,87,42,0
T2,12,12,0,0,12,12,0,0,54,41,13,40
T3,19,19,0,0,19,19,0,0,70,50,20,6
T4,120,159,-39,3,120,159,-39,3,102,95,7,0
T5,17,17,0,0,17,17,0,0,63,41,22,8
T6,148,636,-488,84,148,636,-488,84,148,128,20,2
T7,14,14,0,0,14,14,0,0,49,44,5,16
T8,40,36,4,0,40,36,4,0,72,60,12,7
T9,120,275,-155,25,120,275,-155,25,118,109,9,3
