Task,RM_Analytic,RM_Observed,RM_Gap,RM_Missed,DM_Analytic,DM_Observed,DM_Gap,DM_Missed,EDF_Analytic,EDF_Observed,EDF_Gap,EDF_Missed
T0,1,1,0,0,1,1,0,0,45,5715,-5670,2119
T1,104,95,9,0,104,95,9,0,129,5786,-5657,211
T2,12,12,0,0,12,12,0,0,54,5724,-5670,1060
T3,19,19,0,0,19,19,0,0,70,5732,-5662,530
T4,120,6999,-6879,202,120,6999,-6879,202,102,5802,-5700,212
T5,17,17,0,0,17,17,0,0,63,5726,-5663,705
T6,148,0,148,0,148,0,148,0,148,5810,-5662,177
T7,14,14,0,0,14,14,0,0,49,5725,-5676,848
T8,40,38,2,0,40,38,2,0,72,5748,-5676,424
T9,120,0,120,0,120,0,120,0,118,5785,-5667,212
