Task,RM_Analytic,RM_Observed,RM_Gap,RM_Missed,DM_Analytic,DM_Observed,DM_Gap,DM_Missed,EDF_Analytic,EDF_Observed,EDF_Gap,EDF_Missed
T0,1,1,0,0,1,1,0,0,45,8610,-8565,1830
T1,104,2838,-2734,243,104,2838,-2734,243,129,8688,-8559,183
T2,12,12,0,0,12,12,0,0,54,8619,-8565,915
T3,19,19,0,0,19,19,0,0,70,8626,-8556,457
T4,120,0,120,0,120,0,120,0,102,8708,-8606,184
T5,17,17,0,0,17,17,0,0,63,8619,-8556,610
T6,148,0,148,0,148,0,148,0,148,8704,-8556,153
T7,14,14,0,0,14,14,0,0,49,8613,-8564,732
T8,40,40,0,0,40,40,0,0,72,8629,-8557,366
T9,120,0,120,0,120,0,120,0,118,8674,-8556,183
