StreamID,PCP,SimMax_CBS,SimMax_SP,AnaWCRT_CBS,AnaWCRT_SP
0,2,1161.2799999999988,336.79999999981374,1493.2800000000002,1000.5599999999998
1,2,1373.4400000000096,336.80000000004657,1493.2800000000002,1000.5599999999998
2,2,1226.320000000007,336.80000000004657,1537.6799999999998,1000.56
3,2,1146.4800000000032,336.79999999981374,1537.6799999999998,1000.56
4,1,630.7999999993481,454.1599999999162,1880.32,1629.4399999999998
5,1,1704.4000000000015,454.1600000000908,1880.32,1629.4399999999998
6,1,1506.0800000000017,454.1600000000908,1765.6,1629.4399999999998
7,1,1234.800000000003,454.1600000000908,1765.6,1629.4399999999998
8,0,654.3199999999997,454.1600000000908,nan,1763.9999999999998
9,0,554.3199999998324,454.1600000000908,nan,1763.9999999999998
