StreamID,PCP,SimMax_CBS,SimMax_SP,AnaWCRT_CBS,AnaWCRT_SP
0,2,374.7380000000003,326.25800000000163,1896.3151145038169,950.24
1,2,458.33799999999974,326.25800000000163,1896.3151145038169,950.24
2,2,388.2579999999998,326.25800000000163,1819.1248854961837,950.2399999999999
3,2,403.058,326.25800000000163,1819.1248854961837,950.2399999999999
4,1,529.6979999999985,473.77800000000025,2159.336497423519,1713.6
5,1,529.698000000004,473.77800000000207,2159.336497423519,1713.6
6,1,548.6579999999994,473.77800000000207,2242.713215628008,1713.6
7,1,548.6579999999994,473.77800000000116,2242.713215628008,1713.6
8,0,625.4579999999987,473.77800000000207,1867.2000000000003,1867.2000000000003
9,0,625.4579999999987,473.77800000000207,1867.2000000000003,1867.2000000000003
